word,mini,en
move,tu i go ade go mi ke tu i move a di ofisi?,Will you help me move this desk?
mui,da viro-kinde e mui lasi!,How lazy those boys are!
mui,tu i de veni e mui furi ka si-viro ero go ke rason?,Why did you get so angry at his mistake?
mun,"se tu open a mun, mi-ale i go e de-i suko en vaku.","If you open the door, we will be sucked into space."
mun,mi i kan open a da mun go tu.,I can open that door for you.
mundo,nu mundo semi-aje vile-tempo i en veni.,A new worldwide medieval era is coming on.
muta,Mary i de muta o fini a si-feme menta.,Mary eventually changed her mind.
muta-numa,muta-numa i apara sama 1.0.1.,A version number looks like 1.0.1.
muta-uti,"u atomo-58, ke si a impotan materi en rapi-kemi-reaki muta-uti.","Or cerium, which is an important material in catalytic converters."
naga-fobo,Tom i ave a naga-fobo.,Tom suffers from ophidiophobia.
name,mega ave i no kan esi no kon nulo-jura-neso; mui name i no kan esi no kon mentira.,Great possessions cannot exist without injustice; a multitude of words cannot exist without a lie.
name,mi name a feme-kinde a Alisa.,I name the girl Alice.
name-muta,tu i kan name-muta a di ato-name?,Can you conjugate this verb?
nami-sino,nami-sino e an uti en Espaniol.,The tilde is also used in Spanish.
naro-lan,Panama kanali i kata e via Panama naro-lan.,The Panama Canal cuts across the Isthmus of Panama.
naro-vasa,Taiuan naro-vasa i ave a 130 kilo-mita de lati.,The Taiwan Strait is 130 kilometers wide.
nase,"man i ave a uno nase, duo oko, an penta diji en kada mano.","A person has one nose, two eyes, and five fingers on each hand."
natura,"ota eki-pota kon jin, liki-metali, atomo-92, natura aero, an, en some ano, eleki.","Other exports include gold, mercury, uranium, natural gas, and - in some years - electricity."
natura-eleti,Tom i de ave a natura-eleti ke Mary i da no lagima.,Tom had a hunch that Mary wouldn't cry.
nea,mi i no viva e nea di.,I don't live around here.
nese,si-feme i de no nese make a da labora.,She didn't need to do that work.
nese,si-uno i no nese dire ke vere-fule-neso e da ma bon ajenda.,It goes without saying that honesty is the best policy.
ni,si-ale i dire ke i de vole make o ni a da.,They say they never wanted to do that.
ni,si-viro i go make o ni a si?,Will he ever do it?
niku-en-feruta,Yanni i de note a mui lakoni-note de niku-en-feruta en Facebook.,Yanni wrote many articles about figs on Facebook.
no,mi-ale i no kan lase mori a di fiore. i favo dusa a si.,We can't let these flowers die. Please water them.
no,Tom i da no favo a Australia.,Tom wouldn't like Australia.
no-ave-a,Tom i no savi a ota inta ave-a an no-ave-a ato-name.,Tom doesn't understand the difference between transitive and intransitive verbs.
no-duo-numa,si a no-duo-numa.,It's an odd number.
no-man,no-man i de apojo a si-feme.,Nobody supported her.
no-metali,"atomo-1, atomo-6, atomo-7, atomo-15, otomo-8, atomo-16 and atomo-34 a no-metali.","Hydrogen, carbon, nitrogen, phosphorus, oxygen, sulfur and selenium are nonmetals."
no-paren,si-feme i de a no-paren ke i de lose a si paren en kolidi de avion.,She was an orphan who lost her parents in a plane crash.
noga,da jaketa i de debe kote a rama an noga go tu.,That jacket must've cost you an arm and a leg.
note,si-viro i de note a buku ke i dona-mala-name a Aljeri.,He wrote a book criticizing Algeria.
note,Yanni i de note a mui lakoni-note de niku-en-feruta en Facebook.,Yanni wrote many articles about figs on Facebook.
note-pape,Tom i de baka-dona a si note-pape en si teta poke.,Tom put his pad back into his breast pocket.
note-sino,tu i kan an a note-sino.,You can add tags.
nu,mi nu Alfa Romeo open-karo e luse ruja.,My new Alfa Romeo convertible is light red.
nu,nu mundo semi-aje vile-tempo i en veni.,A new worldwide medieval era is coming on.
nube,"en-i open o mui lenta o ade a ventana, si-ale i de arapan-kipa tila kali nube i de ave osura o semi a eve, an den uno de uno i de kamina go mini gaden.","Opening the window very slowly and carefully, they waited until a dark cloud had somewhat obscured the night, and then one by one passed through into the little garden."
nulo-fide,Vera i de odi a Sergey ka si-viro i de nulo-fide go si-viro mari-feme.,Vera looked down on Sergey because he was cheating on his wife.
nulo-jura-neso,mega ave i no kan esi no kon nulo-jura-neso; mui name i no kan esi no kon mentira.,Great possessions cannot exist without injustice; a multitude of words cannot exist without a lie.
nulo-kipa-tenden-neso,mi-ale i no vole a nulo-kipa-tenden-neso en Aljeri.,We don't want instability in Algeria.
nulo-senti,tu e da ma nulo-senti man ke mi i ave enkonte o ni.,You're the most inconsiderate person I've ever met.
nulo-sori,Alberto i de e mui bata an nulo-sori.,Alberto was very combative and unapologetic.
numa-sino,Instagram i de ruina a numa-sino.,Instagram ruined hashtags.
o,joli-man i de labora o duro en en-i esita a junta ante ludi-man i de apara en patio go fini ludi de karera de mano-balo de Delauer tingi-sekola.,The cheerleaders worked hard to fire up the crowd before the players took the court for the final game of the Delaware high school basketball playoffs.
o,mi i begin o rapi a karo.,I start the car quickly.
o,viro-paren de Sami i de dire-abuso o mui a si.,Sami's father put him down a lot.
odi,Mary i de no savi a rason ke Tom i de odi a si-feme.,Mary didn't know why Tom hated her.
odi,Vera i de odi a Sergey ka si-viro i de nulo-fide go si-viro mari-feme.,Vera looked down on Sergey because he was cheating on his wife.
open,"en-i open o mui lenta o ade a ventana, si-ale i de arapan-kipa tila kali nube i de ave osura o semi a eve, an den uno de uno i de kamina go mini gaden.","Opening the window very slowly and carefully, they waited until a dark cloud had somewhat obscured the night, and then one by one passed through into the little garden."
open,riva El Harrach i labora sama open tubo-laji.,The El Harrach River functions like an open sewer.
open-karo,mi nu Alfa Romeo open-karo e luse ruja.,My new Alfa Romeo convertible is light red.
open-make,tu i debe dona a open-make go Tom i make a da.,You should give Tom a chance to do that.
orijen,universa-viva-siensa a etudi de orijen de viva en tera an mebi de viva en universa.,Astrobiology is the study of life’s origins on Earth and the potential for life in Universe.
oso,mi-ale i jeti a oso en base.,We throw the bones onto the floor.
osura,"en-i open o mui lenta o ade a ventana, si-ale i de arapan-kipa tila kali nube i de ave osura o semi a eve, an den uno de uno i de kamina go mini gaden.","Opening the window very slowly and carefully, they waited until a dark cloud had somewhat obscured the night, and then one by one passed through into the little garden."
ota,"nun, Tom e sama ota man.",Tom is like a different person now.
ota,"ota eki-pota kon jin, liki-metali, atomo-92, natura aero, an, en some ano, eleki.","Other exports include gold, mercury, uranium, natural gas, and - in some years - electricity."
padon,"go-i ero, e man. go-i padon, e deo.","To err is human, to forgive divine."
paga,tu i da paga a ke mui go mi-ale go-i make a da?,How much would you pay us to do that?
pale,mi i pale a Eire-linga e kada dia.,I speak Irish every day.
pale,mi-ale i go pale kon Tom.,We'll have to have a talk with Tom.
pale-man,pale-man e ujana.,The speaker is young.
pan,da pan e da ma bon.,That bread is the best.
pan,tu i no manja a ale pan.,You didn't eat all the bread.
Panama,Sami i viva en Panama.,Sami lives in Panama.
para,i para mala-name.,Stop cursing.
para,ke i para a tu?,What's stopping you?
pasa,mi i no go an i kula-lubi sama mui sama mi i pasa make.,I don't go skiing as much as I used to.
pasa,mi i pensa ke Engli-man i mebi veni pasa o ma a etudi-man de linga sama man en ota paisa.,I think that English people might be more used to language learners than people in other countries.
pasa,mi pasa savi a feme.,I used to know the woman.
patio,joli-man i de labora o duro en en-i esita a junta ante ludi-man i de apara en patio go fini ludi de karera de mano-balo de Delauer tingi-sekola.,The cheerleaders worked hard to fire up the crowd before the players took the court for the final game of the Delaware high school basketball playoffs.
pensa,mi i no pensa ke Tom i savi a rason ke Mary e fobo.,I don't think Tom knows why Mary is afraid.
pensa,Tom an Mary i de dire go mi-ale ke si-ale i de pensa ke si-ale i da gana.,Tom and Mary told us they thought they'd win.
penta,"via penta ano de duka o sela-develo-maladi terapi, si-viro i de fini-make kipa a dereka fase.","Throughout the five years of painful cancer treatments, he managed to keep a stiff upper lip."
pero,"mi i go ade a tu, pero mi i go no ade a Tom.","I will help you, but I won't help Tom."
pero,"Tom i de puse a gun-boton, pero gun i de no gun.","Tom squeezed the trigger, but the gun didn't fire."
peso,bodi de man i ave a mui peso.,People’s bodies have many parts.
pile,tu i vole a some pile kon tu whiskey?,You want some pills with your whiskey?
pisi,"en some loke, a mui pisi.",In some places there are lots of fish.
pisi,si i apara sama sama tipo de pisi. pero si e no sama. si a ota tipo.,It looks like the same kind of fish. But it’s not. It’s another kind.
polo,si-feme i de kopen a polo.,She bought chicken.
pone,si-viro i de pone a si-viro bibe.,He put down his drink.
pone,tu i de pone a si-feme imaje e en ke?,Where did you put her picture?
Popula-regula-gove republika de kongo,Popula-regula-gove republika de kongo i eki-pota a atomo-27.,The DRC exports cobalt.
pota,i favo pota a semi botelo de vino go mi.,Please bring me a half-bottle of wine.
poten,"si-viro i de en-savi a mi ke viva i ke, an mori i sinifi a ke, an rason ke amo e ma poten sama si-duo.","He made me see what Life is, and what Death signifies, and why Love is stronger than both."
poten,go-i go o poten a ke no man i ave go ante.,To boldly go where no man has gone before.
poten-pin,i dona a ma poten-pin go mi.,Give me another nail.
puko,di a mini puko.,This is a small knife.
punjo,Julius i punjo o furi a sadi viro-kinde.,Julius angrily beats the rude boy.
pura,i pura a si.,Clean it.
puse,"Tom i de puse a gun-boton, pero gun i de no gun.","Tom squeezed the trigger, but the gun didn't fire."
radi-uti,si-viro i vende a radi-uti.,He sells radios.
rama,da jaketa i de debe kote a rama an noga go tu.,That jacket must've cost you an arm and a leg.
rapi,si kipa pale rapi.,She keeps talking quickly.
rapi,Tom i de e mui o ma rapi sama Mary en en-i make a da.,Tom was much quicker at doing that than Mary was.
rapi-kemi-reaki,"u atomo-58, ke si a impotan materi en rapi-kemi-reaki muta-uti.","Or cerium, which is an important material in catalytic converters."
raro,Jordan Peterson e raro seketa-man ke i base a si idea en mentira mentira-siensa de Carl Jung.,Jordan Peterson is a weird mystic who bases his ideas on the discredited pseudoscience of Carl Jung.
raro-fase,Peter Jackman i de erase a si denta en 2000 go-i fasile a fara raro-fase.,Peter Jackman had his teeth removed in 2000 to facilitate extreme gurning.
raro-tera-atomo,"raro-tera-atomo a junta de 17 metali atomo, sama atomo-60, atomo-63 an atomo-66.","Rare earth elements are a set of 17 metallic elements, such as neodymium, europium, and dysprosium."
rason,"si-viro i de en-savi a mi ke viva i ke, an mori i sinifi a ke, an rason ke amo e ma poten sama si-duo.","He made me see what Life is, and what Death signifies, and why Love is stronger than both."
rason,mi i no pensa ke Tom i savi a rason ke Mary e fobo.,I don't think Tom knows why Mary is afraid.
reaki,Tom i de no reaki o ni.,Tom never wrote me back.
redi,mi i de dimenti redi a siren go sekola.,I forgot to set the alarm for school.
regen,junta i de ave begin ludi o jusa ven regen i de begin.,The teams had just started to play when it began to rain.
regula,di karo de-i regula de komputa.,This car is controlled by a computer.
regula-feme,Mary a regula-feme.,Mary is a dominatrix.
relate,Aljeri i debe kata a relate kon Saudi-arabia?,Should Algeria cut its ties with Saudi Arabia?
renta,banka i de renta a 500 dolar go si.,The bank loaned him 500 dollars.
repare,mi i kan repare a si.,I can fix him.
resi,si debe resi.,She should rest.
resi,si i vole resi?,Does he want to sleep?
retorante,Alisa i go a retorante.,Alice goes to the restaurant.
rika,Brasil e mui rika; si rika e mui mega; kafe e uno de si o da ma mega rika.,Brazil is very rich; its richness is immense; coffee is one of its greatest riches.
risiti,mesaje de-i risiti.,Message received.
riva,riva El Harrach i labora sama open tubo-laji.,The El Harrach River functions like an open sewer.
riva-kavalo,riva-kavalo i favo a vasa.,Hippopotamuses love water.
robare,"an si-viro i de dona-mala-name a Abimelech ka fonte, ke si-viro dulo i de ave robare o poten.","And he reproved Abimelech for a well of water, which his servants had taken away by force."
roga,mi i de roga go Mary se si-feme i de vole mira a kino kon mi.,I asked Mary if she wanted to go to a movie with me.
roga,Sami i de ave a si diji en si labi an i de roga go Layla ke si i no debe make a sono.,Sami had his finger on his lips and asked Layla not to make a sound.
ruina,i no ruina a mi sitema.,Don't mess up my system.
ruja-roka,"tu i favo a ke, ruja-roka u midori-roka?","Which do you prefer, ruby or emerald?"
saara,e saara.,It's deserted.
saara-lago,Tera a mi-ale saara-lago.,Earth is our oasis.
sadi,Julius i punjo o furi a sadi viro-kinde.,Julius angrily beats the rude boy.
saga-man,tu a mui bon saga-man.,You're a very good storyteller.
sake,Tom i de bibe a san sake.,Tom drank three cocktails.
saliva,mi i saliva en tu!,I spit on thee!
salu,"salu, gen","Hello, again."
sama,ale demon i de apara e sama tempo go-i kapa a si-ale mudi-make.,The demons came out all at once to capture their prey.
sama,mi e sama mega sama tu.,I am as big as you.
sama,mi i no favo a feme sama da.,I don't like women like that.
san,di vela navi i ave a san ade-kolun.,This sailing ship has three masts.
san,si i dona a san.,They give three.
sano,si-viro i go veni sano e mui sun?,He will get well very soon.
savi,mi i no savi a ale ke tu i make.,I don't know everything you do.
savi,tu i go kan savi o sure e ke se tu i de roga o ni?,How could you know for certain if you never asked?
Sbaria,"fo kemi atomo, atomo-39, atomo-68, atomo-65 an atomo-70, e name en onore go vila Ytterby en Sbaria.","Four chemical elements, yttrium, erbium, terbium, and ytterbium, are named after the village of Ytterby in Sweden."
se,"se mi i kan go, mi i da go.","If I could go, I would."
se,tu i go kan savi o sure e ke se tu i de roga o ni?,How could you know for certain if you never asked?
sede,mega silen i sede en bete kasa ve so mui de viro an feme i de more enkonte en ota dia.,An impressive silence broods over the monstrous structure where such multitudes of men and women were wont to assemble in other days.
sede,viro-kinde i de sede inta feme-kinde.,The boy sat among the girls.
sela,sole-luse i make ke mala-eleki-peso en sela i move an enejia e make.,The sunlight makes the electrons in the cells move and energy is produced.
semi,"en-i open o mui lenta o ade a ventana, si-ale i de arapan-kipa tila kali nube i de ave osura o semi a eve, an den uno de uno i de kamina go mini gaden.","Opening the window very slowly and carefully, they waited until a dark cloud had somewhat obscured the night, and then one by one passed through into the little garden."
semi,Tom i de aseta o solo a semi liabili.,Tom only accepted partial responsibility.
semi-aje,nu mundo semi-aje vile-tempo i en veni.,A new worldwide medieval era is coming on.
semi-ila,Italia a semi-ila.,Italy is a peninsula.
senta-eve,si-viro i de veni en senta-eve.,He arrived at midnight.
senti,i lase a mi ke mi i dire go tu ke mi i senti o vere e ke.,Let me tell you how I really feel.
senti,Tom i de dire go mi ke si-viro i de en senti e mini fatiga.,Tom told me he was feeling a bit tired.
sento-ano-ovo,Jo i favo a sento-ano-ovo.,Jo likes century eggs.
Serbia,mi-mui i viva en Serbia.,We live in Serbia.
seri,mi i an a si a mi seri.,I add it to my list.
sesi,mi i vole sesi a tu.,I want to make love with you.
sesi-ego,sesi-ego e medi?,Is masturbation normal?
si,mi i dia a si sama 1730.,I date it as 1730.
si,Tom i de bibe a si kafe.,Tom sipped his coffee.
si-ale,si-ale i dire ke i de vole make o ni a da.,They say they never wanted to do that.
si-ale,Tom an Mary i de dire ke si-ale i da e di.,Tom and Mary said they would be here.
si-feme,i dire a si-feme ke man-ale e di.,Tell her that everyone is here.
si-feme,Mary i de dire ke si-feme i da no make o mebi a da.,Mary said she probably wouldn't do that.
si-uno,si-uno i no kan fide a si-feme.,She cannot be trusted.
si-uno,si-uno i no nese dire ke vere-fule-neso e da ma bon ajenda.,It goes without saying that honesty is the best policy.
si-viro,"si-viro i de en-savi a mi ke viva i ke, an mori i sinifi a ke, an rason ke amo e ma poten sama si-duo.","He made me see what Life is, and what Death signifies, and why Love is stronger than both."
si-viro,Tom i dire ke si-viro i ave dire o ni a mentira.,Tom claims that he's never told a lie.
sige,Tom i ave a vile-tempo de dipa-melankoli de-i sige de lin de dipa-enejia ato.,Tom has periods of debilitating depression followed by bursts of manic activity.
sige,tu e sige.,You are next.
Sikago,mi i kan gana a Sikago karera se mi i uben e sufi duro.,I could win the Chicago Marathon if I train hard enough.
silen,mega silen i sede en bete kasa ve so mui de viro an feme i de more enkonte en ota dia.,An impressive silence broods over the monstrous structure where such multitudes of men and women were wont to assemble in other days.
silen,Tom i de kipa e silen vile da-ma-impotan-manja.,Tom remained silent during dinner.
Sina,bon-veni go Sina!,Welcome to China!
sinifi,"si-viro i de en-savi a mi ke viva i ke, an mori i sinifi a ke, an rason ke amo e ma poten sama si-duo.","He made me see what Life is, and what Death signifies, and why Love is stronger than both."
sino,i jage a sino de fungi-veni.,Look for signs of decomposition.
siren,mi i de dimenti redi a siren go sekola.,I forgot to set the alarm for school.
siti-senta,Sami i de kamina go siti-senta.,Sami walked downtown.
sivi-neso,Tom i ave a duo sivi-neso.,Tom has dual citizenship.
so,"Mennad e so nulo-sekura, ankora.",Mennad is still so insecure.
so,mega silen i sede en bete kasa ve so mui de viro an feme i de more enkonte en ota dia.,An impressive silence broods over the monstrous structure where such multitudes of men and women were wont to assemble in other days.
sole-luse,sole-luse i make ke mala-eleki-peso en sela i move an enejia e make.,The sunlight makes the electrons in the cells move and energy is produced.
solo,Tom an mi i de e no solo man ke i de via-viva.,Tom and I weren't the only ones who survived.
solo,Tom i de aseta o solo a semi liabili.,Tom only accepted partial responsibility.
some,Sami i de move a si go Mosr go some tempo.,Sami ended up moving to Egypt for a while.
some,tu i da favo amo-enkonte e some tempo?,Would you like to go out sometime?
some-kosa,mi i de make a some-kosa seketa.,I did something mysterious.
some-kosa,mi i de no arapan a some-kosa sama da.,I did not expect something like that.
some-si-uno,tu i kan voka a some-si-uno go-i pota a mi sako go supa?,Could you have someone carry my bag upstairs?
some-tempo,"some-tempo, mala kosa i pasa go bon man.",Sometimes bad things happen to good people.
su,mi labora i veni e su duro.,My work becomes too hard.
su,Tom e su antika ke si i no kan make a da.,Tom is already too old to do that.
subita-lan,"ota paso, an tu i go unda e en subita-lan.","Another step, and you will fall down the precipice."
sufi,si-feme e sufi bela.,She's beautiful enough.
sufi,tu e sufi matura ke tu i kan ade a tu-ego.,You are old enough to take care of yourself.
sujesi,tu i da sujesi a ke go Tom?,What would you recommend to Tom?
Sumatra,Sumatra a ila.,Sumatra is an island.
sumete,ke man i de sumete?,Who surrendered?
supa-ato,i no e supa-ato.,Don't be condescending.
supose,mi i ave supose ke solo moda mi i kan make a di e ke Tom i ade a mi.,I've figured out that the only way I can do this is to get Tom to help me.
supose,mi i de supose ke Tom i de savi a ke mi-ale i de en pale.,I assumed that Tom understood what we were talking about.
sure,"se tu i dire go Tom ke si-viro i debe make a ke, mi e sure ke si-viro i go make a si.","If you tell Tom what to do, I'm sure he'll do it."
sure,tu i go kan savi o sure e ke se tu i de roga o ni?,How could you know for certain if you never asked?
tamen,"mi-ale debe kipa di, tamen.","We should stay here, however."
tamen,"tamen si i go mori, si deside open a loka.","Although s/he will die, s/he decides to open the lock."
tea,tu i vole a kafe u tea?,Do you want coffee or tea?
tempo,"pasa tempo ke mi i de go a litora, mi de-i mui sole-fogo.","The last time I went to the beach, I got badly sunburned."
tempo,ale demon i de apara e sama tempo go-i kapa a si-ale mudi-make.,The demons came out all at once to capture their prey.
ten,i numa go ten.,Count to ten.
tenta,Mary i de mentira-make no savi ke Tom i de tenta dire a si-feme.,Mary pretended not to understand what Tom was trying to tell her.
tenta,si-viro i de tenta no pensa o no ma a si-feme.,He made an effort not to think about her any more.
tera,universa-viva-siensa a etudi de orijen de viva en tera an mebi de viva en universa.,Astrobiology is the study of life’s origins on Earth and the potential for life in Universe.
tera-vibe,ke i orijen a tera-vibe?,What causes earthquakes?
teta,Tom i de baka-dona a si note-pape en si teta poke.,Tom put his pad back into his breast pocket.
tila,"en-i open o mui lenta o ade a ventana, si-ale i de arapan-kipa tila kali nube i de ave osura o semi a eve, an den uno de uno i de kamina go mini gaden.","Opening the window very slowly and carefully, they waited until a dark cloud had somewhat obscured the night, and then one by one passed through into the little garden."
tingi,i mira a tingi bela feme ke i en ereki e da.,Look at the tall pretty girl standing there.
tingi-foli-lan,lenta-unda fogo en-i veni e de tingi-foli-lan.,Parachute fire coming over the mesa.
tingi-tingi-sekola,"Mario i de kan ave go a ani tingi-tingi-sekola ke si-viro i de vole, pero si-viro i de eleti UConn ka si viro-paren i de go a da.","Mario could have gone to any college he wanted, but he chose UConn because that’s where his dad went."
tipo,ke man i kopen a di tipo de seni?,Who buys this type of art?
toma,mi i toma a kosa go tu.,I take the thing to you.
toma,some man i de toma a si. mi i no savi a ke man.,Someone took it. I don’t know who.
tori,a mui tipo de tori.,There are many kinds of birds.
tu,mi i arapan ke tu i go ave a bon afa-semi-dia.,I hope you have a good afternoon.
tu,tu a feme-kinde u viro-kinde?,Are you a girl or a boy?
tuerk,Layla i de en tuerk a si pigu.,Layla was twerking her ass.
tuju,Tom i jeritan o tuju go mi.,Tom always yells at me.
tumba,gen-viva de no-mori bete i de kon-pasa kon ruina de si tumba.,The revival of the undead beast coincided with the destruction of his tomb.
u,Großer Tiergarten u Tiergarten e mega komun gaden de-i loke en semi de Belin.,The Großer Tiergarten or Tiergarten is a large public park located in the middle of Berlin.
u,Tom i de kan viva a ma u meno medi viva afa medika-metodo.,Tom was able to live a more or less normal life after the operation.
ubuntu,"da a da ma ubuntu puni go ofensa-man, no?",Isn't that the most humane punishment for criminals?
unda,"animale, en-e mega su, i unda.","The animal, being too large, falls."
unda,"kalori-ke-mui e unda nulo, di-dia.",The temperature is below zero today.
unda-go,Ziri i de unda-go a lada e mui ade.,Ziri very carefully descended the stairs.
unda-go-vasa,i mira a da unda-go-vasa!,Look at that waterfall!
unda-meno,"si-ale i limi a si-ale-ego go solo litera, numa, unda-meno an punto go ke rason?","Why limit themselves to only letters, numbers, underscore and punctum?"
uno,Brasil e mui rika; si rika e mui mega; kafe e uno de si o da ma mega rika.,Brazil is very rich; its richness is immense; coffee is one of its greatest riches.
uno,Tom i de veni en dia-1 an i de baka-go e uno dia afa.,Tom came on Monday and went back the day after.
uno-punto-sita-kilo-mita,"ante tu i dona-mala-name a some, tu i debe kamina a uno-punto-sita-kilo-mita en si sapato.","Before you criticize someone, you should walk a mile in their shoes."
uti,tu i vole uti a ke kosa?,Which thing do you want to use?
vakansa-navi,vakansa-navi en-i dive.,The cruise ship is sinking.
vakili-name,tu vakili-name a ke?,What are your pronouns?
vakili-umile,mi i senti a vakili-umile.,I feel proxyshame.
vaku-man,vaku-man i kan mira a najima ka si ventana i en punto eki de Tera.,The spaceman can see the star because his window is pointing away from Earth.
vali,kali i de kova o ankora a vali.,Darkness still covered the valley.
vasa,a vasa.,There is water.
vasa,e vasa.,It’s wet.
vasa-foreta,si-ale i de go e en a vasa-foreta.,They entered the jungle.
vasa-retili,vasa-retili i kan mori a man.,Crocodiles can kill people.
ve,mega silen i sede en bete kasa ve so mui de viro an feme i de more enkonte en ota dia.,An impressive silence broods over the monstrous structure where such multitudes of men and women were wont to assemble in other days.
veji,"en-i no vasa a veji, a mala kosa.",Not watering the plants is a bad thing.
veji,"veji i develo en gaden, sama foli-veji, rondo-foli-vejii, onion, alio, melon, bianka-kera-veji, bianka-rondo-radika-veji, ruja-rondo-radika-veji, kavalo-rondo-radika-veji, roka-antika-gadi, longo-midori-melon an oranje-melon.","Greens and vegetables grow in gardens, such as lettuce, cabbage, onions, garlic, gourd, parsnip, turnip, radish, horse radish, parsley, cucumbers and pumpkin."
veka,si-viro i de veka a si-viro fili go Faser dua.,He woke his son up for the fajr prayer.
ven,"salu! ven tu i ave a ma tempo, i veni an ludi!","Goodbye! When you have more time, come back and play!"
ven,junta i de ave begin ludi o jusa ven regen i de begin.,The teams had just started to play when it began to rain.
vende,sesi i vende.,Sex sells.
vende-man,"an, a vende-man ke i apojo a Linux.",There are also vendors who support Linux.
veni,"de nun, tu i go veni e tu ego.","From here on out, you'll be on your own."
veni,"mi i go veni e di sige-dia, mi i pensa.","I'll be here tomorrow, I think."
veni,mini viro i go veni a mega viro.,The small man will be a big man.
vere,en-i etudi a Barbari de-i ave e vere joli go mi.,Studying Berber has been a real joy for me.
vere,vere duro e ke tu i no savi o ankora ke mi-ale i ave a duro.,The real problem is you don't even know we have a problem.
vere-fule-neso,si-uno i no nese dire ke vere-fule-neso e da ma bon ajenda.,It goes without saying that honesty is the best policy.
veta,da ke veta i de go make i de e no apara.,It wasn't obvious what the weather was going to do.
via,"via penta ano de duka o sela-develo-maladi terapi, si-viro i de fini-make kipa a dereka fase.","Throughout the five years of painful cancer treatments, he managed to keep a stiff upper lip."
via-relate,"via via-relate kalite, tu i de pipi en si-viro boka.",By the transitive property you peed in his mouth.
via-vari-eleki-uti,inventi de via-vari-eleki-uti i de begin a nu aje.,The invention of the transistor introduced a new era.
vila,si-feme vila e en kolina.,Her villa sits on the hill.
vile,"vile tu open a loka, mi toma a mi fini nafasa.","While you open the lock, I take my last breath."
vile,Tom i de kipa e silen vile da-ma-impotan-manja.,Tom remained silent during dinner.
vile-tempo,nu mundo semi-aje vile-tempo i en veni.,A new worldwide medieval era is coming on.
vile-tempo,Tom i ave a vile-tempo de dipa-melankoli de-i sige de lin de dipa-enejia ato.,Tom has periods of debilitating depression followed by bursts of manic activity.
vina-moda,dona-mala-name-man i go dire ke ale de di a vina-moda.,The critics will say this is all whataboutism.
vino,"medi, vino de kaja e no mui bon.",Boxed wine isn't usually very good.
vino,i favo pota a semi botelo de vino go mi.,Please bring me a half-bottle of wine.
viro,mega silen i sede en bete kasa ve so mui de viro an feme i de more enkonte en ota dia.,An impressive silence broods over the monstrous structure where such multitudes of men and women were wont to assemble in other days.
viro,mega viro i manja.,The big man eats.
viro-kinde,da viro-kinde e mui lasi!,How lazy those boys are!
viro-kinde,viro-kinde i de sede inta feme-kinde.,The boy sat among the girls.
viro-paren,si-viro viro-paren i de aseta a mi ajenda anti si-viro vole.,His father consented to my plan against his will.
viro-paren,viro-paren de Sami i de dire-abuso o mui a si.,Sami's father put him down a lot.
viva,mi i no viva e nea di.,I don't live around here.
viva,Tom i de kan viva a ma u meno medi viva afa medika-metodo.,Tom was able to live a more or less normal life after the operation.
voka,tu i ave voka o deja a sano-karo?,Have you already called an ambulance?
voka,Yanni i de voka o momen a polisa.,Yanni called the police immediately.
vole,mi i no vole a ma ronko-dire.,I don't want any more complaining.
vole,tu i vole etudi o mui a si?,Do you want to study it further?
vori,mi e mui vori de di tema.,I'm very concerned about these matters.
